2025-07-30 02:11:41 install libtinfo6:amd64 <none> 6.4+20240113-1ubuntu2
2025-07-30 02:11:41 status half-installed libtinfo6:amd64 6.4+20240113-1ubuntu2
2025-07-30 02:11:41 status unpacked libtinfo6:amd64 6.4+20240113-1ubuntu2
2025-07-30 02:11:41 install libudev1:amd64 <none> 255.4-1ubuntu8
2025-07-30 02:11:41 status half-installed libudev1:amd64 255.4-1ubuntu8
2025-07-30 02:11:41 status unpacked libudev1:amd64 255.4-1ubuntu8
2025-07-30 02:11:41 install libuuid1:amd64 <none> 2.39.3-9ubuntu6
2025-07-30 02:11:41 status half-installed libuuid1:amd64 2.39.3-9ubuntu6
2025-07-30 02:11:41 status unpacked libuuid1:amd64 2.39.3-9ubuntu6
2025-07-30 02:11:41 install libzstd1:amd64 <none> 1.5.5+dfsg2-2build1
2025-07-30 02:11:41 status half-installed libzstd1:amd64 1.5.5+dfsg2-2build1
2025-07-30 02:11:41 status unpacked libzstd1:amd64 1.5.5+dfsg2-2build1
2025-07-30 02:11:41 install login:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2025-07-30 02:11:41 status half-installed login:amd64 1:4.13+dfsg1-4ubuntu3
2025-07-30 02:11:41 status unpacked login:amd64 1:4.13+dfsg1-4ubuntu3
2025-07-30 02:11:41 install logsave:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2025-07-30 02:11:41 status half-installed logsave:amd64 1.47.0-2.4~exp1ubuntu4
2025-07-30 02:11:41 status unpacked logsave:amd64 1.47.0-2.4~exp1ubuntu4
2025-07-30 02:11:41 upgrade mawk:amd64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2025-07-30 02:11:41 status half-configured mawk:amd64 1.3.4.20240123-1build1
2025-07-30 02:11:41 status unpacked mawk:amd64 1.3.4.20240123-1build1
2025-07-30 02:11:41 status half-installed mawk:amd64 1.3.4.20240123-1build1
2025-07-30 02:11:41 status unpacked mawk:amd64 1.3.4.20240123-1build1
2025-07-30 02:11:41 install mount:amd64 <none> 2.39.3-9ubuntu6
2025-07-30 02:11:41 status half-installed mount:amd64 2.39.3-9ubuntu6
2025-07-30 02:11:41 status unpacked mount:amd64 2.39.3-9ubuntu6
2025-07-30 02:11:41 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2025-07-30 02:11:41 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2025-07-30 02:11:41 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2025-07-30 02:11:41 install ncurses-bin:amd64 <none> 6.4+20240113-1ubuntu2
2025-07-30 02:11:41 status half-installed ncurses-bin:amd64 6.4+20240113-1ubuntu2
2025-07-30 02:11:41 status unpacked ncurses-bin:amd64 6.4+20240113-1ubuntu2
2025-07-30 02:11:41 install passwd:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2025-07-30 02:11:41 status half-installed passwd:amd64 1:4.13+dfsg1-4ubuntu3
2025-07-30 02:11:41 status unpacked passwd:amd64 1:4.13+dfsg1-4ubuntu3
2025-07-30 02:11:41 upgrade perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2
2025-07-30 02:11:41 status half-configured perl-base:amd64 5.38.2-3.2build2
2025-07-30 02:11:41 status unpacked perl-base:amd64 5.38.2-3.2build2
2025-07-30 02:11:41 status half-installed perl-base:amd64 5.38.2-3.2build2
2025-07-30 02:11:42 status unpacked perl-base:amd64 5.38.2-3.2build2
2025-07-30 02:11:42 install procps:amd64 <none> 2:4.0.4-4ubuntu3
2025-07-30 02:11:42 status half-installed procps:amd64 2:4.0.4-4ubuntu3
2025-07-30 02:11:42 status unpacked procps:amd64 2:4.0.4-4ubuntu3
2025-07-30 02:11:42 install sed:amd64 <none> 4.9-2build1
2025-07-30 02:11:42 status half-installed sed:amd64 4.9-2build1
2025-07-30 02:11:42 status unpacked sed:amd64 4.9-2build1
2025-07-30 02:11:42 install sensible-utils:all <none> 0.0.22
2025-07-30 02:11:42 status half-installed sensible-utils:all 0.0.22
2025-07-30 02:11:42 status unpacked sensible-utils:all 0.0.22
2025-07-30 02:11:42 install sysvinit-utils:amd64 <none> 3.08-6ubuntu3
2025-07-30 02:11:42 status half-installed sysvinit-utils:amd64 3.08-6ubuntu3
2025-07-30 02:11:42 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2025-07-30 02:11:42 install tar:amd64 <none> 1.35+dfsg-3build1
2025-07-30 02:11:42 status half-installed tar:amd64 1.35+dfsg-3build1
2025-07-30 02:11:42 status unpacked tar:amd64 1.35+dfsg-3build1
2025-07-30 02:11:42 install util-linux:amd64 <none> 2.39.3-9ubuntu6
2025-07-30 02:11:42 status half-installed util-linux:amd64 2.39.3-9ubuntu6
2025-07-30 02:11:42 status unpacked util-linux:amd64 2.39.3-9ubuntu6
2025-07-30 02:11:42 install zlib1g:amd64 <none> 1:1.3.dfsg-3.1ubuntu2
2025-07-30 02:11:42 status half-installed zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2025-07-30 02:11:42 status unpacked zlib1g:amd64 1:1.3.dfsg-3.1ubuntu2
2025-07-30 02:11:42 startup packages configure
2025-07-30 02:11:42 configure gcc-14-base:amd64 14-20240412-0ubuntu1 <none>
2025-07-30 02:11:42 status unpacked gcc-14-base:amd64 14-20240412-0ubuntu1
2025-07-30 02:11:42 status half-configured gcc-14-base:amd64 14-20240412-0ubuntu1
2025-07-30 02:11:42 status installed gcc-14-base:amd64 14-20240412-0ubuntu1
2025-07-30 02:11:42 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2025-07-30 02:11:42 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2025-07-30 02:11:42 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2025-07-30 02:11:42 status installed libaudit-common:all 1:3.1.2-2.1build1
2025-07-30 02:11:42 configure libsemanage-common:all 3.5-1build5 <none>
2025-07-30 02:11:42 status unpacked libsemanage-common:all 3.5-1build5
2025-07-30 02:11:42 status half-configured libsemanage-common:all 3.5-1build5
2025-07-30 02:11:42 status installed libsemanage-common:all 3.5-1build5
2025-07-30 02:11:42 configure debconf:all 1.5.86ubuntu1 <none>
2025-07-30 02:11:42 status unpacked debconf:all 1.5.86ubuntu1
2025-07-30 02:11:42 status half-configured debconf:all 1.5.86ubuntu1
2025-07-30 02:11:42 status installed debconf:all 1.5.86ubuntu1
2025-07-30 02:11:42 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2025-07-30 02:11:42 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2025-07-30 02:11:42 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2025-07-30 02:11:42 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2025-07-30 02:11:42 configure init-system-helpers:all 1.66ubuntu1 <none>
2025-07-30 02:11:42 status unpacked init-system-helpers:all 1.66ubuntu1
2025-07-30 02:11:42 status half-configured init-system-helpers:all 1.66ubuntu1
2025-07-30 02:11:42 status installed init-system-helpers:all 1.66ubuntu1
2025-07-30 02:11:42 configure sensible-utils:all 0.0.22 <none>
2025-07-30 02:11:42 status unpacked sensible-utils:all 0.0.22
2025-07-30 02:11:42 status half-configured sensible-utils:all 0.0.22
2025-07-30 02:11:42 status installed sensible-utils:all 0.0.22
2025-07-30 02:11:42 configure libgcc-s1:amd64 14-20240412-0ubuntu1 <none>
2025-07-30 02:11:42 status unpacked libgcc-s1:amd64 14-20240412-0ubuntu1
2025-07-30 02:11:42 status half-configured libgcc-s1:amd64 14-20240412-0ubuntu1
2025-07-30 02:11:42 status installed libgcc-s1:amd64 14-20240412-0ubuntu1
2025-07-30 02:11:42 configure libc6:amd64 2.39-0ubuntu8 <none>
2025-07-30 02:11:42 status unpacked libc6:amd64 2.39-0ubuntu8
2025-07-30 02:11:42 status half-configured libc6:amd64 2.39-0ubuntu8
